abraham_2012
arctander_1960
aromadb
arshamian_2022
burton_2022
bushdid_2014
chae_2019
dravnieks_1985
flavordb
flavornet
foodb
foodcomex
fragrancedb
freesolve
goodscents
gras
haddad_2008
ifra_2019
keller_2012
keller_2016
knapsack
leffingwell
leon
ma_2012
ma_2021
mainland_2015
manoel_2021
mayhew_2022
nakayama_2022
nat_geo_1986
nhanes_2014
optical_rotation
prestwick
ravia_2020
scott_2014
sharma_2021a
sharma_2021b
sigma_2014
snitz_2013
snitz_2019
soh_2013
superscent
t3db
wakayama_2019
weiss_2012
